COVID-19 Cumulative Cases and Fatalities by County 03/06/2020 to 03/16/2022,,,
County,Confirmed Cases,Probable Cases,Fatalities
Anderson,6618,2905,232
Andrews,3431,359,71
Angelina,8938,6333,476
Aransas,3163,908,80
Archer,1856,263,28
Armstrong,336,175,9
Atascosa,10722,2676,230
Austin,4406,1232,71
Bailey,901,503,39
Bandera,2538,1029,75
Bastrop,16187,5457,230
Baylor,314,495,32
Bee,6534,1675,151
Bell,53582,13090,876
Bexar,465483,85156,6015
Blanco,1433,1084,34
Borden,75,20,2
Bosque,2841,1197,70
Bowie,11865,8136,421
Brazoria,76706,16261,976
Brazos,54447,5384,405
Brewster,787,267,28
Briscoe,334,118,8
Brooks,1153,455,51
Brown,6078,4996,226
Burleson,4061,939,66
Burnet,8891,1870,165
Caldwell,11972,2153,175
Calhoun,3603,2077,48
Callahan,1417,1373,72
Cameron,78797,21142,2010
Camp,1766,1063,74
Carson,1064,436,34
Cass,4516,2653,193
Castro,1790,482,46
Chambers,10109,173,69
Cherokee,3262,4668,252
Childress,2458,137,31
Clay,1774,275,33
Cochran,641,236,23
Coke,335,497,19
Coleman,1034,583,69
Collin,156926,49637,1471
Collingsworth,491,201,16
Colorado,2989,765,61
Comal,21799,11245,542
Comanche,2382,778,78
Concho,551,519,11
Cooke,5772,1438,130
Coryell,14851,2304,209
Cottle,254,27,9
Crane,337,932,24
Crockett,143,841,19
Crosby,1024,833,45
Culberson,470,38,14
Dallam,1716,416,40
Dallas,486191,81275,6619
Dawson,1861,936,93
Deaf Smith,3731,969,111
Delta,739,1060,25
Denton,128590,39737,1331
DeWitt,3972,2463,98
Dickens,201,226,16
Dimmit,4785,953,51
Donley,449,673,26
Duval,2498,826,68
Eastland,1955,827,113
Ector,20188,16924,688
Edwards,313,152,11
El Paso,195314,11391,3689
Ellis,37989,10570,573
Erath,5952,2691,123
Falls,3154,591,63
Fannin,4238,2558,182
Fayette,3140,1608,101
Fisher,553,52,24
Floyd,1126,809,48
Foard,160,39,11
Fort Bend,157255,21507,1148
Franklin,1486,674,40
Freestone,2269,1582,82
Frio,4410,1317,92
Gaines,1566,392,83
Galveston,82996,12149,840
Garza,611,641,27
Gillespie,3236,2077,106
Glasscock,74,123,3
Goliad,792,396,32
Gonzales,3326,1380,96
Gray,4128,1995,123
Grayson,23657,3387,622
Gregg,12365,10719,665
Grimes,7404,1028,119
Guadalupe,26129,11566,396
Hale,6194,335,241
Hall,859,221,23
Hamilton,1689,269,32
Hansford,641,1270,29
Hardeman,498,57,19
Hardin,5618,6393,248
Harris,958184,38632,10801
Harrison,6858,6360,224
Hartley,1028,320,3
Haskell,386,505,39
Hays,51761,5622,426
Hemphill,1060,147,7
Henderson,12201,3151,419
Hidalgo,139616,58823,3480
Hill,6656,2195,191
Hockley,6331,1301,160
Hood,8575,4742,269
Hopkins,4655,2542,177
Houston,2195,1899,107
Howard,3667,3027,180
Hudspeth,789,193,17
Hunt,11291,4421,358
Hutchinson,5351,1290,135
Irion,207,231,3
Jack,1305,194,28
Jackson,2614,614,59
Jasper,3457,2607,183
Jeff Davis,165,56,9
Jefferson,42523,3114,819
Jim Hogg,796,1806,22
Jim Wells,8565,2546,205
Johnson,32746,9593,723
Jones,2945,1580,91
Karnes,4674,871,68
Kaufman,27851,7228,528
Kendall,4772,3334,117
Kenedy,45,37,2
Kent,64,138,4
Kerr,4384,5144,181
Kimble,368,314,15
King,30,11,0
Kinney,643,93,10
Kleberg,4868,2284,145
Knox,286,205,24
La Salle,1732,601,47
Lamar,3974,5598,252
Lamb,3246,1056,122
Lampasas,4736,772,90
Lavaca,2656,1518,116
Lee,2137,2089,60
Leon,2743,955,91
Liberty,13422,4218,399
Limestone,3600,1468,123
Lipscomb,541,157,16
Live Oak,1614,521,41
Llano,2641,1222,97
Loving,42,125,1
Lubbock,64803,28432,1304
Lynn,1196,262,38
Madison,2847,851,53
Marion,977,698,59
Martin,720,454,26
Mason,304,476,12
Matagorda,6866,1385,174
Maverick,19327,1410,458
McCulloch,647,637,46
McLennan,48212,8744,892
McMullen,134,34,9
Medina,7279,2840,195
Menard,218,293,12
Midland,25157,13463,491
Milam,2770,2143,100
Mills,1192,278,35
Mitchell,1735,126,47
Montague,4022,611,122
Montgomery,108222,27839,1275
Moore,3713,1814,110
Morris,1650,856,70
Motley,121,156,13
Nacogdoches,8992,3188,255
Navarro,6123,6291,218
Newton,800,561,59
Nolan,2805,248,98
Nueces,60769,21242,1240
Ochiltree,1973,353,48
Oldham,305,246,6
Orange,6241,8672,348
Palo Pinto,6153,858,152
Panola,2615,1935,129
Parker,26970,7133,442
Parmer,1450,887,52
Pecos,1997,654,71
Polk,5003,2789,247
Potter,27490,1794,639
Presidio,691,274,36
Rains,1014,817,58
Randall,25381,1843,485
Reagan,291,565,14
Real,563,244,24
Red River,1056,1229,64
Reeves,2238,2352,73
Refugio,1142,613,33
Roberts,147,26,2
Robertson,3631,892,76
Rockwall,19868,6493,262
Runnels,1125,1154,65
Rusk,6430,4308,230
Sabine,686,546,88
San Augustine,525,529,42
San Jacinto,3974,1433,100
San Patricio,8712,2301,336
San Saba,808,428,35
Schleicher,240,280,9
Scurry,4569,392,102
Shackelford,213,460,12
Shelby,2700,1676,128
Sherman,366,127,16
Smith,28914,16383,951
Somervell,1321,782,35
Starr,14477,5234,362
Stephens,990,828,46
Sterling,95,150,6
Stonewall,74,278,7
Sutton,379,460,12
Swisher,1250,686,33
Tarrant,454570,82164,5178
Taylor,13172,17172,711
Terrell,75,42,3
Terry,1475,1005,84
Throckmorton,87,181,8
Titus,5709,2829,127
Tom Green,8581,21858,458
Travis,201714,18101,1696
Trinity,1796,682,72
Tyler,1672,1703,84
Upshur,3537,4176,180
Upton,134,693,18
Uvalde,9764,789,140
Val Verde,13825,460,293
Van Zandt,6730,3620,276
Victoria,16701,1735,406
Walker,16235,2100,210
Waller,7832,1568,104
Ward,2052,752,43
Washington,7624,1429,146
Webb,85123,7590,1020
Wharton,6999,1961,208
Wheeler,919,242,23
Wichita,28510,1064,660
Wilbarger,2791,652,86
Willacy,5826,1084,126
Williamson,108060,22313,860
Wilson,7479,3344,155
Winkler,1490,346,34
Wise,14067,2744,264
Wood,5007,2977,280
Yoakum,830,265,41
Young,3302,588,89
Zapata,2383,1280,52
Zavala,3372,656,68
Incomplete Address,68021,6400,23
Total,5462353,1146184,85211
